2025-07-05 22:22:21,528 - INFO - 変換開始: 入力ファイル='plantsch BOMつき.csv', 出力ファイル='202507052222_supabase_plantsch BOMつき.csv'
2025-07-05 22:22:21,579 - INFO - 終了日時: 2025/04/25 17:00 → 2025-04-25T17:00:00+09:00
2025-07-05 22:22:21,579 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-25T13:00:00+09:00', '2025-04-25T17:00:00+09:00', '×']
2025-07-05 22:22:21,579 - INFO - SUPABASE形式変換: 2025/04/26 00:00 → 2025-04-26T00:00:00+09:00
2025-07-05 22:22:21,579 - INFO - 時刻修正: 2025/04/26 24:00 → 2025/04/27 00:00
2025-07-05 22:22:21,579 - INFO - SUPABASE形式変換: 2025/04/26 24:00 → 2025-04-27T00:00:00+09:00
2025-07-05 22:22:21,580 - INFO - 開始日時: 2025/04/26 00:00 → 2025-04-26T00:00:00+09:00
2025-07-05 22:22:21,580 - INFO - 終了日時: 2025/04/26 24:00 → 2025-04-27T00:00:00+09:00
2025-07-05 22:22:21,580 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-04-26T00:00:00+09:00', '2025-04-27T00:00:00+09:00', '×']
2025-07-05 22:22:21,580 - INFO - SUPABASE形式変換: 2025/05/08 00:00 → 2025-05-08T00:00:00+09:00
2025-07-05 22:22:21,580 - INFO - 時刻修正: 2025/05/08 24:00 → 2025/05/09 00:00
2025-07-05 22:22:21,580 - INFO - SUPABASE形式変換: 2025/05/08 24:00 → 2025-05-09T00:00:00+09:00
2025-07-05 22:22:21,580 - INFO - 開始日時: 2025/05/08 00:00 → 2025-05-08T00:00:00+09:00
2025-07-05 22:22:21,580 - INFO - 終了日時: 2025/05/08 24:00 → 2025-05-09T00:00:00+09:00
2025-07-05 22:22:21,580 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-05-08T00:00:00+09:00', '2025-05-09T00:00:00+09:00', '×']
2025-07-05 22:22:21,581 - INFO - SUPABASE形式変換: 2025/05/09 08:30 → 2025-05-09T08:30:00+09:00
2025-07-05 22:22:21,581 - INFO - SUPABASE形式変換: 2025/05/09 17:00 → 2025-05-09T17:00:00+09:00
2025-07-05 22:22:21,581 - INFO - 開始日時: 2025/05/09 08:30 → 2025-05-09T08:30:00+09:00
2025-07-05 22:22:21,581 - INFO - 終了日時: 2025/05/09 17:00 → 2025-05-09T17:00:00+09:00
2025-07-05 22:22:21,581 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-05-09T08:30:00+09:00', '2025-05-09T17:00:00+09:00', '×']
2025-07-05 22:22:21,581 - INFO - SUPABASE形式変換: 2025/05/12 09:00 → 2025-05-12T09:00:00+09:00
2025-07-05 22:22:21,581 - INFO - SUPABASE形式変換: 2025/05/12 17:00 → 2025-05-12T17:00:00+09:00
2025-07-05 22:22:21,581 - INFO - 開始日時: 2025/05/12 09:00 → 2025-05-12T09:00:00+09:00
2025-07-05 22:22:21,581 - INFO - 終了日時: 2025/05/12 17:00 → 2025-05-12T17:00:00+09:00
2025-07-05 22:22:21,581 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-05-12T09:00:00+09:00', '2025-05-12T17:00:00+09:00', '×']
2025-07-05 22:22:21,581 - INFO - SUPABASE形式変換: 2025/05/13 09:00 → 2025-05-13T09:00:00+09:00
2025-07-05 22:22:21,582 - INFO - SUPABASE形式変換: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,582 - INFO - 開始日時: 2025/05/13 09:00 → 2025-05-13T09:00:00+09:00
2025-07-05 22:22:21,582 - INFO - 終了日時: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,582 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-05-13T09:00:00+09:00', '2025-05-13T12:00:00+09:00', '×']
2025-07-05 22:22:21,582 - INFO - SUPABASE形式変換: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,582 - INFO - SUPABASE形式変換: 2025/05/13 17:00 → 2025-05-13T17:00:00+09:00
2025-07-05 22:22:21,582 - INFO - 開始日時: 2025/05/13 12:00 → 2025-05-13T12:00:00+09:00
2025-07-05 22:22:21,582 - INFO - 終了日時: 2025/05/13 17:00 → 2025-05-13T17:00:00+09:00
2025-07-05 22:22:21,582 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-05-13T12:00:00+09:00', '2025-05-13T17:00:00+09:00', '×']
2025-07-05 22:22:21,582 - INFO - SUPABASE形式変換: 2025/05/14 08:30 → 2025-05-14T08:30:00+09:00
2025-07-05 22:22:21,582 - INFO - SUPABASE形式変換: 2025/05/14 17:00 → 2025-05-14T17:00:00+09:00
2025-07-05 22:22:21,582 - INFO - 開始日時: 2025/05/14 08:30 → 2025-05-14T08:30:00+09:00
2025-07-05 22:22:21,582 - INFO - 終了日時: 2025/05/14 17:00 → 2025-05-14T17:00:00+09:00
2025-07-05 22:22:21,583 - INFO - 処理済み行データ: ['１００２会議室（１０階西）', '2025-05-14T08:30:00+09:00', '2025-05-14T17:00:00+09:00', '×']
2025-07-05 22:22:21,583 - INFO - 会議室名検出: '１００３会議室（仙台合同庁舎１０階西／仙台地方振興事務所）'
2025-07-05 22:22:21,583 - INFO - SUPABASE形式変換: 2025/04/14 08:30 → 2025-04-14T08:30:00+09:00
2025-07-05 22:22:21,583 - INFO - SUPABASE形式変換: 2025/04/14 17:00 → 2025-04-14T17:00:00+09:00
2025-07-05 22:22:21,583 - INFO - 開始日時: 2025/04/14 08:30 → 2025-04-14T08:30:00+09:00
2025-07-05 22:22:21,583 - INFO - 終了日時: 2025/04/14 17:00 → 2025-04-14T17:00:00+09:00
2025-07-05 22:22:21,583 - INFO - 処理済み行データ: ['１００３会議室（１０階西）', '2025-04-14T08:30:00+09:00', '2025-04-14T17:00:00+09:00', '×']
2025-07-05 22:22:21,583 - INFO - SUPABASE形式変換: 2025/04/15 08:30 → 2025-04-15T08:30:00+09:00
2025-07-05 22:22:21,583 - INFO - SUPABASE形式変換: 2025/04/15 17:00 → 2025-04-15T17:00:00+09:00
2025-07-05 22:22:21,583 - INFO - 開始日時: 2025/04/15 08:30 → 2025-04-15T08:30:00+09:00
2025-07-05 22:22:21,583 - INFO - 終了日時: 2025/04/15 17:00 → 2025-04-15T17:00:00+09:00
2025-07-05 22:22:21,583 - INFO - 処理済み行データ: ['１００３会議室（１０階西）', '2025-04-15T08:30:00+09:00', '2025-04-15T17:00:00+09:00', '×']
2025-07-05 22:22:21,584 - INFO - SUPABASE形式変換: 2025/04/19 00:00 → 2025-04-19T00:00:00+09:00
2025-07-05 22:22:21,584 - INFO - 時刻修正: 2025/04/19 24:00 → 2025/04/20 00:00
2025-07-05 22:22:21,584 - INFO - SUPABASE形式変換: 2025/04/19 24:00 → 2025-04-20T00:00:00+09:00
2025-07-05 22:22:21,584 - INFO - 開始日時: 2025/04/19 00:00 → 2025-04-19T00:00:00+09:00
2025-07-05 22:22:21,584 - INFO - 終了日時: 2025/04/19 24:00 → 2025-04-20T00:00:00+09:00
2025-07-05 22:22:21,584 - INFO - 処理済み行データ: ['１００３会議室（１０階西）', '2025-04-19T00:00:00+09:00', '2025-04-20T00:00:00+09:00', '×']
2025-07-05 22:22:21,584 - INFO - SUPABASE形式変換: 2025/04/21 08:30 → 2025-04-21T08:30:00+09:00
2025-07-05 22:22:21,584 - INFO - SUPABASE形式変換: 2025/04/21 17:00 → 2025-04-21T17:00:00+09:00
2025-07-05 22:22:21,584 - INFO - 開始日時: 2025/04/21 08:30 → 2025-04-21T08:30:00+09:00
2025-07-05 22:22:21,584 - INFO - 終了日時: 2025/04/21 17:00 → 2025-04-21T17:00:00+09:00
2025-07-05 22:22:21,584 - INFO - 処理済み行データ: ['１００３会議室（１０階西）', '2025-04-21T08:30:00+09:00', '2025-04-21T17:00:00+09:00', '×']
2025-07-05 22:22:21,585 - INFO - SUPABASE形式変換: 2025/04/22 08:30 → 2025-04-22T08:30:00+09:00
2025-07-05 22:22:21,585 - INFO - SUPABASE形式変換: 2025/04/22 17:00 → 2025-04-22T17:00:00+09:00
2025-07-05 22:22:21,585 - INFO - 開始日時: 2025/04/22 08:30 → 2025-04-22T08:30:00+09:00
2025-07-05 22:22:21,585 - INFO - 終了日時: 2025/04/22 17:00 → 2025-04-22T17:00:00+09:00
2025-07-05 22:22:21,585 - INFO - 処理済み行データ: ['１００３会議室（１０階西）', '2025-04-22T08:30:00+09:00', '2025-04-22T17:00:00+09:00', '×']
2025-07-05 22:22:21,585 - INFO - SUPABASE形式変換: 2025/04/23 08:30 → 2025-04-23T08:30:00+09:00
2025-07-05 22:22:21,585 - INFO - SUPABASE形式変換: 2025/04/23 17:00 → 2025-04-23T17:00:00+09:00
2025-07-05 22:22:21,585 - INFO - 開始日時: 2025/04/23 08:30 → 2025-04-23T08:30:00+09:00
2025-07-05 22:22:21,585 - INFO - 終了日時: 2025/04/23 17:00 → 2025-04-23T17:00:00+09:00
2025-07-05 22:22:21,585 - INFO - 処理済み行データ: ['１００３会議室（１０階西）', '2025-04-23T08:30:00+09:00', '2025-04-23T17:00:00+09:00', '×']
2025-07-05 22:22:21,585 - INFO - SUPABASE形式変換: 2025/04/24 08:30 → 2025-04-24T08:30:00+09:00
